"Gen","ID","Fitness"
"575",1,"i 5",13960
"576",1,"i 6",23090
"577",1,"i 7",14070
"578",1,"i 8",23510
"579",1,"i 9",14830
"580",1,"i 10",13230
"581",1,"i 1",15630
"582",1,"i 2",23960
"583",1,"i 3",21100
"584",1,"i 4",10510
"585",1,"i 5",13960
"586",1,"i 6",23090
"587",1,"i 7",14070
"588",1,"i 8",23320
"589",1,"i 9",14830
"590",1,"i 10",13230
"591",1,"i 1",15630
"592",1,"i 2",23960
"593",1,"i 3",21100
"594",1,"i 4",10510
"595",1,"i 5",13960
"596",1,"i 6",23090
"597",1,"i 7",14070
"598",1,"i 8",23320
"599",1,"i 9",14830
"600",1,"i 10",13230
"601",1,"i 1",15630
"602",1,"i 2",23960
"603",1,"i 3",21100
"604",1,"i 4",10510
"605",1,"i 5",14580
"606",1,"i 6",23090
"607",1,"i 7",14070
"608",1,"i 8",23510
"609",1,"i 9",14830
"610",1,"i 10",13230
"611",1,"i 1",15630
"612",1,"i 2",23960
"613",1,"i 3",21100
"614",1,"i 4",10510
"615",1,"i 5",13960
"616",1,"i 6",23090
"617",1,"i 7",14070
"618",1,"i 8",23510
"619",1,"i 9",14830
"620",1,"i 10",13230
"621",1,"i 1",15630
"622",1,"i 2",23960
"623",1,"i 3",21100
"624",1,"i 4",10510
"625",1,"i 5",13960
"626",1,"i 6",23090
"627",1,"i 7",14070
"628",1,"i 8",23320
"629",1,"i 9",14830
"630",1,"i 10",13230
"631",1,"i 1",15630
"632",1,"i 2",23960
"633",1,"i 3",21100
"634",1,"i 4",10510
"635",1,"i 5",13960
"636",1,"i 6",23090
"637",1,"i 7",14070
"638",1,"i 8",23320
"639",1,"i 9",14830
"640",1,"i 10",13230
"641",1,"i 1",15630
"642",1,"i 2",23960
"643",1,"i 3",21100
"644",1,"i 4",10510
"645",1,"i 5",14380
"646",1,"i 6",23090
"647",1,"i 7",14070
"648",1,"i 8",23510
"649",1,"i 9",14830
"650",1,"i 10",13230
"651",1,"i 1",15630
"652",1,"i 2",23960
"653",1,"i 3",21100
"654",1,"i 4",10510
"655",1,"i 5",13960
"656",1,"i 6",23090
"657",1,"i 7",14070
"658",1,"i 8",23510
"659",1,"i 9",14830
"660",1,"i 10",13230
"661",1,"i 1",15630
"662",1,"i 2",23960
"663",1,"i 3",21100
"664",1,"i 4",10510
"665",1,"i 5",14380
"666",1,"i 6",23090
"667",1,"i 7",14070
"668",1,"i 8",23320
"669",1,"i 9",14830
"670",1,"i 10",13230
"671",1,"i 1",15630
"672",1,"i 2",23960
"673",1,"i 3",21100
"674",1,"i 4",10510
"675",1,"i 5",14380
"676",1,"i 6",23090
"677",1,"i 7",14070
"678",1,"i 8",23510
"679",1,"i 9",14830
"680",1,"i 10",13230
"681",1,"i 1",15630
"682",1,"i 2",23960
"683",1,"i 3",21100
"684",1,"i 4",10510
"685",1,"i 5",13960
"686",1,"i 6",23090
"687",1,"i 7",14070
"688",1,"i 8",23320
"689",1,"i 9",14830
"690",1,"i 10",13230
"691",1,"i 1",15630
"692",1,"i 2",23960
"693",1,"i 3",21100
"694",1,"i 4",10510
"695",1,"i 5",13960
"696",1,"i 6",23090
"697",1,"i 7",14070
"698",1,"i 8",23510
"699",1,"i 9",14830
"700",1,"i 10",13230
"701",1,"i 1",15630
"702",1,"i 2",23960
"703",1,"i 3",21100
"704",1,"i 4",10510
"705",1,"i 5",13960
"706",1,"i 6",23090
"707",1,"i 7",14070
"708",1,"i 8",23510
"709",1,"i 9",14830
"710",1,"i 10",13230
"711",1,"i 1",15630
"712",1,"i 2",23960
"713",1,"i 3",21100
"714",1,"i 4",10510
"715",1,"i 5",14380
"716",1,"i 6",23090
"717",1,"i 7",14070
"718",1,"i 8",23510
"719",1,"i 9",14830
"720",1,"i 10",13230
"721",1,"i 1",15630
"722",1,"i 2",23960
"723",1,"i 3",21100
"724",1,"i 4",10510
"725",1,"i 5",14580
"726",1,"i 6",23090
"727",1,"i 7",14070
"728",1,"i 8",23320
"729",1,"i 9",14830
"730",1,"i 10",13230
"731",1,"i 1",15630
"732",1,"i 2",23960
"733",1,"i 3",21100
"734",1,"i 4",10510
"735",1,"i 5",13960
"736",1,"i 6",23090
"737",1,"i 7",14070
"738",1,"i 8",23510
"739",1,"i 9",14830
"740",1,"i 10",13230
"741",1,"i 1",15630
"742",1,"i 2",23960
"743",1,"i 3",21100
"744",1,"i 4",10510
"745",1,"i 5",13960
"746",1,"i 6",23090
"747",1,"i 7",14070
"748",1,"i 8",23510
"749",1,"i 9",14830
"750",1,"i 10",13230
"751",1,"i 1",15630
"752",1,"i 2",23960
"753",1,"i 3",21100
"754",1,"i 4",11890
"755",1,"i 5",13960
"756",1,"i 6",23090
"757",1,"i 7",14070
"758",1,"i 8",23510
"759",1,"i 9",14830
"760",1,"i 10",13230
"761",1,"i 1",15630
"762",1,"i 2",23960
"763",1,"i 3",21100
"764",1,"i 4",10510
"765",1,"i 5",13960
"766",1,"i 6",23090
"767",1,"i 7",14070
"768",1,"i 8",23510
"769",1,"i 9",14830
"770",1,"i 10",13230
"771",1,"i 1",15630
"772",1,"i 2",23960
"773",1,"i 3",21100
"774",1,"i 4",10510
"775",1,"i 5",13960
"776",1,"i 6",23090
"777",1,"i 7",14070
"778",1,"i 8",23510
"779",1,"i 9",14830
"780",1,"i 10",13230
"781",1,"i 1",15630
"782",1,"i 2",23960
"783",1,"i 3",21100
"784",1,"i 4",10510
"785",1,"i 5",13960
"786",1,"i 6",23090
"787",1,"i 7",14070
"788",1,"i 8",23510
"789",1,"i 9",14830
"790",1,"i 10",13230
"791",1,"i 1",15630
"792",1,"i 2",23960
"793",1,"i 3",21100
"794",1,"i 4",10510
"795",1,"i 5",13960
"796",1,"i 6",23090
"797",1,"i 7",14070
"798",1,"i 8",23320
"799",1,"i 9",14830
"800",1,"i 10",13230
"801",1,"i 1",15630
"802",1,"i 2",23960
"803",1,"i 3",21100
"804",1,"i 4",10510
"805",1,"i 5",13960
"806",1,"i 6",23090
"807",1,"i 7",14070
"808",1,"i 8",23510
"809",1,"i 9",14830
"810",1,"i 10",13230
"811",1,"i 1",15630
"812",1,"i 2",23960
"813",1,"i 3",21100
"814",1,"i 4",10510
"815",1,"i 5",13960
"816",1,"i 6",23090
"817",1,"i 7",14070
"818",1,"i 8",23320
"819",1,"i 9",14830
"820",1,"i 10",13230
"821",1,"i 1",15630
"822",1,"i 2",23960
"823",1,"i 3",21100
"824",1,"i 4",10510
"825",1,"i 5",14380
"826",1,"i 6",23090
"827",1,"i 7",14070
"828",1,"i 8",23510
"829",1,"i 9",14830
"830",1,"i 10",13230
"831",1,"i 1",15630
"832",1,"i 2",23960
"833",1,"i 3",21100
"834",1,"i 4",10510
"835",1,"i 5",14580
"836",1,"i 6",23090
"837",1,"i 7",14070
"838",1,"i 8",23510
"839",1,"i 9",14830
"840",1,"i 10",13230
"841",1,"i 1",15630
"842",1,"i 2",23960
"843",1,"i 3",21100
"844",1,"i 4",10510
"845",1,"i 5",13960
"846",1,"i 6",23090
"847",1,"i 7",14070
"848",1,"i 8",23510
"849",1,"i 9",14830
"850",1,"i 10",13230
"851",1,"i 1",15630
"852",1,"i 2",23960
"853",1,"i 3",21100
"854",1,"i 4",10510
"855",1,"i 5",13960
"856",1,"i 6",23090
"857",1,"i 7",14070
"858",1,"i 8",23510
"859",1,"i 9",14830
"860",1,"i 10",13230
"861",1,"i 1",15630
"862",1,"i 2",23960
"863",1,"i 3",21100
"864",1,"i 4",10510
"865",1,"i 5",14580
"866",1,"i 6",23090
"867",1,"i 7",14070
"868",1,"i 8",23510
"869",1,"i 9",14830
"870",1,"i 10",13230
"871",1,"i 1",15630
"872",1,"i 2",23960
"873",1,"i 3",21100
"874",1,"i 4",10510
"875",1,"i 5",13960
"876",1,"i 6",23090
"877",1,"i 7",14070
"878",1,"i 8",23320
"879",1,"i 9",14830
"880",1,"i 10",13230
"881",1,"i 1",15630
"882",1,"i 2",23960
"883",1,"i 3",21100
"884",1,"i 4",10510
"885",1,"i 5",13960
"886",1,"i 6",23090
"887",1,"i 7",14070
"888",1,"i 8",23510
"889",1,"i 9",14830
"890",1,"i 10",13230
"891",1,"i 1",15630
"892",1,"i 2",23960
"893",1,"i 3",21100
"894",1,"i 4",10510
"895",1,"i 5",13960
"896",1,"i 6",23090
"897",1,"i 7",14070
"898",1,"i 8",23510
"899",1,"i 9",14830
"900",1,"i 10",13230
"901",1,"i 1",15630
"902",1,"i 2",23960
"903",1,"i 3",21100
"904",1,"i 4",10510
"905",1,"i 5",13960
"906",1,"i 6",23090
"907",1,"i 7",14070
"908",1,"i 8",23320
"909",1,"i 9",14830
"910",1,"i 10",13230
"911",1,"i 1",15630
"912",1,"i 2",23960
"913",1,"i 3",21100
"914",1,"i 4",10510
"915",1,"i 5",13960
"916",1,"i 6",23090
"917",1,"i 7",14070
"918",1,"i 8",23510
"919",1,"i 9",14830
"920",1,"i 10",13230
"921",1,"i 1",15630
"922",1,"i 2",23960
"923",1,"i 3",21100
"924",1,"i 4",10510
"925",1,"i 5",13960
"926",1,"i 6",23090
"927",1,"i 7",14070
"928",1,"i 8",23510
"929",1,"i 9",14830
"930",1,"i 10",13230
"931",1,"i 1",15630
"932",1,"i 2",23960
"933",1,"i 3",21100
"934",1,"i 4",10510
"935",1,"i 5",14580
"936",1,"i 6",23090
"937",1,"i 7",14070
"938",1,"i 8",23320
"939",1,"i 9",14830
"940",1,"i 10",13230
"941",1,"i 1",15630
"942",1,"i 2",23960
"943",1,"i 3",21100
"944",1,"i 4",10510
"945",1,"i 5",14580
"946",1,"i 6",23090
"947",1,"i 7",14070
"948",1,"i 8",23320
"949",1,"i 9",14830
"950",1,"i 10",13230
"951",1,"i 1",15630
"952",1,"i 2",23960
"953",1,"i 3",21100
"954",1,"i 4",10510
"955",1,"i 5",13960
"956",1,"i 6",23090
"957",1,"i 7",14070
"958",1,"i 8",23510
"959",1,"i 9",14830
"960",1,"i 10",13230
"961",1,"i 1",15630
"962",1,"i 2",23960
"963",1,"i 3",21100
"964",1,"i 4",10510
"965",1,"i 5",13960
"966",1,"i 6",23090
"967",1,"i 7",14070
"968",1,"i 8",23320
"969",1,"i 9",14830
"970",1,"i 10",13230
"971",1,"i 1",15630
"972",1,"i 2",23960
"973",1,"i 3",21100
"974",1,"i 4",10510
"975",1,"i 5",14580
"976",1,"i 6",23090
"977",1,"i 7",14070
"978",1,"i 8",23320
"979",1,"i 9",14830
"980",1,"i 10",13230
"981",1,"i 1",15630
"982",1,"i 2",23960
"983",1,"i 3",21100
"984",1,"i 4",10510
"985",1,"i 5",14580
"986",1,"i 6",23090
"987",1,"i 7",14070
